Player,Share,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Julius Erving\ervinju01,0.658,30,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
Larry Bird\birdla01,0.613,24,82,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.16
Kareem Abdul-Jabbar\abdulka01,0.414,33,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.23
Moses Malone\malonmo01,0.261,25,80,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.202
George Gervin\gervige01,0.12,28,82,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182
Marques Johnson\johnsma01,0.106,24,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.211
Robert Parish\parisro01,0.077,27,82,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.228
Dennis Johnson\johnsde01,0.072,26,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154
Tiny Archibald\architi01,0.046,32,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.118
Jamaal Wilkes\wilkeja01,0.028,27,81,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,0.135
Magic Johnson\johnsma02,0.026,21,37,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,0.225
Adrian Dantley\dantlad01,0.022,25,80,42.7,30.7,6.4,4,1.4,0.2,0.559,0.286,0.806,13.6,0.191
Phil Ford\fordph01,0.022,24,66,34.7,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,5.2,0.11
Bernard King\kingbe01,0.017,24,81,36,21.9,6.8,3.5,0.9,0.4,0.588,0.333,0.703,9.1,0.15
Kelvin Ransey\ranseke01,0.016,22,80,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.097,0.749,2.8,0.056
Jack Sikma\sikmaja01,0.016,25,82,35.6,18.7,10.4,3,1,1.1,0.454,0,0.823,8,0.132
Otis Birdsong\birdsot01,0.01,25,71,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.286,0.697,8.2,0.152
Micheal Ray Richardson\richami01,0.01,25,79,40.2,16.4,6.9,7.9,2.9,0.4,0.469,0.225,0.663,6.9,0.104
Truck Robinson\robintr01,0.009,29,82,37.7,18.8,9.6,2.5,0.8,0.5,0.505,0,0.629,7.6,0.119
Reggie Theus\theusre01,0.009,23,82,34.4,18.9,3.5,5.2,1.5,0.2,0.495,0.2,0.809,9.2,0.156
Norm Nixon\nixonno01,0.007,25,79,37.5,17.1,2.9,8.8,1.8,0.1,0.476,0.167,0.778,5.5,0.089
Artis Gilmore\gilmoar01,0.006,31,82,34.5,17.9,10.1,2.1,0.6,2.4,0.67,0,0.705,12.3,0.208
Bob Lanier\laniebo01,0.006,32,67,26.2,14.3,6.2,2.7,1.1,1.2,0.525,1,0.751,6.8,0.185
Michael Cooper\coopemi01,0.004,24,81,32.4,9.4,4.1,4.1,1.6,1,0.491,0.211,0.785,5,0.092
Walter Davis\daviswa03,0.004,26,78,28,18,2.6,3.9,1.2,0.2,0.539,0.412,0.836,7.1,0.157
George Johnson\johnsge02,0.004,32,82,23.6,5,7.3,1.1,0.6,3.4,0.473,0,0.734,4.5,0.112
Bobby Jones\jonesbo01,0.004,29,81,25.3,13.5,5.4,2.8,1.2,0.9,0.539,0,0.813,9.2,0.217
Mike Mitchell\mitchmi01,0.004,25,82,39,24.5,6.1,1.7,0.8,0.6,0.476,0.444,0.784,6,0.091
James Silas\silasja01,0.004,31,75,27.4,17.7,3.1,3.8,0.7,0.2,0.477,0,0.85,7,0.164
Quinn Buckner\bucknqu01,0.001,26,82,29.1,13.3,3.6,4.7,2.4,0,0.493,0.167,0.734,5.4,0.108
Caldwell Jones\jonesca01,0.001,30,81,32.6,7.2,10,1.5,0.7,1.7,0.449,0,0.767,5.5,0.1
Moses Malone\malonmo01,0.735,26,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,0.218
Larry Bird\birdla01,0.588,25,77,38,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,0.205
Julius Erving\ervinju01,0.294,31,81,34.4,24.4,6.9,3.9,2,1.7,0.546,0.273,0.763,13.3,0.229
Robert Parish\parisro01,0.19,28,80,31.7,19.9,10.8,1.8,0.9,2.4,0.542,0,0.71,10,0.19
Gus Williams\willigu01,0.167,28,80,36,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,0.171
George Gervin\gervige01,0.159,29,79,35.7,32.3,5,2.4,1,0.6,0.5,0.278,0.864,10.7,0.182
Sidney Moncrief\moncrsi01,0.146,24,80,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,0.216
Magic Johnson\johnsma02,0.097,22,78,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,0.207
Jack Sikma\sikmaja01,0.048,26,82,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,0.199
Kareem Abdul-Jabbar\abdulka01,0.045,34,76,35.2,23.9,8.7,3,0.8,2.7,0.579,0,0.706,10.7,0.192
Dan Roundfield\roundda01,0.02,28,61,36.3,18.6,11.8,2.7,1,1.5,0.466,0.2,0.76,6.5,0.141
