Player,Share,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
Steve Nash\nashst01,0.739,31,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212
LeBron James\jamesle01,0.55,21,79,42.5,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232
Dirk Nowitzki\nowitdi01,0.435,27,81,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275
Kobe Bryant\bryanko01,0.386,27,80,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224
Chauncey Billups\billuch01,0.344,29,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254
Dwyane Wade\wadedw01,0.07,24,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239
Elton Brand\brandel01,0.04,26,79,39.2,24.7,10,2.6,1,2.5,0.527,0.333,0.775,14.8,0.229
Tim Duncan\duncati01,0.026,29,80,34.8,18.6,11,3.2,0.9,2,0.484,0.4,0.629,10.8,0.187
Tony Parker\parketo01,0.007,23,80,33.9,18.9,3.3,5.8,1,0.1,0.548,0.306,0.707,9.6,0.169
Allen Iverson\iversal01,0.001,30,72,43.1,33,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165
Shawn Marion\mariosh01,0.001,27,81,40.3,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,14.6,0.214
